"","x"
"1",158
"2",160
"3",191
"4",222
"5",452
"6",455
"7",469
"8",471
"9",489
"10",493
"11",498
"12",524
"13",525
"14",526
"15",527
"16",554
"17",558
"18",596
"19",597
"20",599
"21",638
"22",640
"23",680
"24",759
"25",940
"26",943
"27",957
"28",963
"29",964
"30",1006
"31",1017
"32",1040
"33",1051
"34",1052
"35",1091
"36",1125
"37",1131
"38",1132
"39",1176
"40",1216
"41",1218
"42",1219
"43",1390
"44",1432
"45",1510
"46",1624
"47",1646
"48",1650
"49",1733
"50",1734
"51",1787
"52",1820
"53",1831
"54",1868
"55",1967
"56",1968
"57",2015
"58",2209
"59",2242
"60",2248
"61",2250
"62",2289
"63",2320
"64",2455
"65",2459
"66",2460
"67",2462
"68",2516
"69",2529
"70",2574
"71",2590
"72",2593
"73",2615
"74",2647
"75",2739
"76",2882
"77",2932
"78",2933
"79",3018
"80",3063
"81",3103
"82",3108
"83",3165
"84",3204
"85",3210
"86",3352
"87",3353
"88",3356
"89",3357
"90",3389
"91",3427
"92",3467
"93",3536
"94",3539
"95",3563
"96",3585
"97",3637
"98",3646
"99",3740
"100",3833
"101",3885
"102",3946
"103",3948
"104",3986
"105",4019
"106",4045
"107",4066
"108",4081
"109",4091
"110",4126
"111",4136
"112",4139
"113",4181
"114",4182
"115",4219
"116",4356
"117",4422
"118",4425
"119",4473
"120",4502
"121",4520
"122",4564
"123",4578
"124",4580
"125",4581
"126",4598
"127",4626
"128",4651
"129",4661
"130",4677
"131",4728
"132",4743
"133",4755
"134",4812
"135",4829
"136",4863
"137",4901
"138",4911
"139",4915
"140",4939
"141",4989
"142",4991
"143",5003
"144",5043
"145",5068
"146",5119
"147",5122
"148",5141
"149",5170
"150",5171
"151",5172
"152",5190
"153",5191
"154",5198
"155",5236
"156",5295
"157",5606
"158",5607
"159",5636
"160",5748
"161",5761
"162",5796
"163",5812
"164",5842
"165",5843
"166",5879
"167",5880
"168",5927
"169",5929
"170",5931
"171",5932
"172",5978
"173",5981
"174",6030
"175",6062
"176",6219
"177",6246
"178",6272
"179",6310
"180",6361
"181",6400
"182",6425
"183",6429
"184",6498
"185",6501
"186",6508
"187",6530
"188",6547
"189",6548
"190",6578
"191",6609
"192",6610
"193",6611
"194",6615
"195",6859
"196",6865
"197",6884
"198",6885
"199",6886
"200",6887
"201",6890
"202",6891
"203",6916
"204",6917
"205",6918
"206",6938
"207",6966
"208",6984
"209",7081
"210",7083
"211",7087
"212",7205
"213",7259
"214",7309
"215",7325
"216",7342
"217",7373
"218",7375
"219",7422
"220",7423
"221",7424
"222",7431
"223",7432
"224",7481
"225",7482
"226",7483
"227",7485
"228",7513
"229",7525
"230",7526
"231",7527
"232",7531
"233",7532
"234",7560
"235",7581
"236",7617
"237",7626
"238",7632
"239",7633
"240",7634
"241",7635
"242",7664
"243",7672
"244",7674
"245",7703
"246",7716
"247",7719
"248",7757
"249",7770
"250",7807
"251",7810
"252",7861
"253",7887
"254",7888
"255",7913
"256",7914
"257",7927
"258",7939
"259",7964
"260",7966
"261",8012
"262",8013
"263",8016
"264",8034
"265",8039
"266",8040
"267",8058
"268",8059
"269",8130
"270",8175
"271",8176
"272",8425
"273",8426
"274",8457
"275",8488
"276",8491
"277",8494
"278",8526
"279",8527
"280",8587
"281",8591
"282",8592
"283",8617
"284",8639
"285",8640
"286",8644
"287",8666
"288",8671
"289",8690
"290",8691
"291",8692
"292",8730
"293",8757
"294",8761
"295",8765
"296",8788
